,1-OFF-NO,1-OFF-YES,DCA-NO,DCA-YES
5196,184.90570150799192,184.52813138672437,186.1878372833683,184.52813138672434
5197,183.9554568365453,184.04452996685592,185.26330985759924,184.04452996685592
5198,183.01491757185835,183.56112752816705,184.34596575219942,183.56112752816708
5199,182.08393577887824,183.07792394787472,183.4357215725502,183.07792394787478
5200,195.46695186063877,194.1165842513656,198.285629441421,194.1165842513656
5201,194.45026282586372,193.63071986915472,197.30451228463147,193.63071986915477
5202,193.4440836480452,193.145055518579,196.33109165200494,193.145055518579
5203,192.4482521992721,192.65959107613355,195.36527733253027,192.65959107613358
5204,191.46260966927963,192.17432641841503,194.40698051952822,192.17432641841503
5205,190.4870004810189,191.6892614221219,193.45611378343034,191.68926142212186
5206,203.06547751161042,202.25270283136413,207.52625791884583,202.25270283136405
5207,202.01289677196496,201.76517330554492,206.51091716591066,201.76517330554492
5208,200.97116015421764,201.27784449277564,205.50352453680998,201.27784449277564
5209,199.94010093624883,200.79071626913316,204.50398706810654,200.79071626913316
5210,198.91955579618838,200.30378851079638,203.51221324050078,200.30378851079644
5211,210.61230385523035,210.38848652342799,216.72751196623932,210.388486523428
5212,209.524341139478,209.8992919914732,215.67824726197878,209.89929199147318
5213,208.4475493258706,209.41029885389847,214.63717887685735,209.41029885389847
5214,207.38175724354645,208.92150698636254,213.60421114633752,208.92150698636257
5215,218.10795673491654,218.52393534823312,225.88964271095912,218.5239353482331
5216,216.98511390955127,218.03307594760273,224.80675081395762,218.03307594760278
5217,215.8737614376886,217.54241862259792,223.73230007107477,217.54241862259786
5218,225.55295488691303,226.65904932645364,235.0128991493298,226.65904932645364
5219,224.39572609830773,226.16652519459498,233.8966739646529,226.16652519459498
5220,232.94781005995878,234.7938284787621,244.09752816919942,234.79382847876215
5221,130.47932828162615,126.631132389425,120.75307164043525,126.63113238942502
5222,129.78307823587357,126.1594599511524,120.07155723416417,126.15945995115239
5223,129.09420696232175,125.68798157943353,119.39543400771328,125.68798157943351
5224,128.41259778027654,125.21669715452197,118.72463824200506,125.21669715452198
5225,127.73813645624392,124.74560655676967,118.05910721816053,124.74560655676967
5226,127.07071114010668,124.27470966662703,117.39877919795111,124.27470966662705
5227,126.41021230328839,123.80400636464273,116.74359340470633,123.80400636464273
5228,125.75653267883239,123.33349653146372,116.09349000466693,123.33349653146372
5229,125.10956720332729,122.86318004783493,115.44841008876932,122.86318004783492
5230,124.46921296061284,122.39305679459935,114.80829565485121,122.39305679459932
5231,123.83536912720278,121.9231266526978,114.17308959026641,121.9231266526978
5232,123.2079369193638,121.45338950316898,113.54273565489797,121.45338950316898
5233,122.5868195417927,120.98384522714925,112.91717846455913,120.98384522714925
5234,121.97192213783501,120.51449370587251,112.29636347477194,120.51449370587252
5235,138.49820868584783,134.76351618067724,130.23875443815845,134.76351618067727
5236,137.7618135276854,134.29018012365214,129.52111471814197,134.2901801236522
5237,137.0331955668676,133.81703881366195,128.8091398238417,133.81703881366198
5238,136.31223224606816,133.3440921305428,128.10276294437972,133.3440921305428
5239,135.59880356960565,132.87133995422957,127.40191831538641,132.87133995422957
5240,134.89279203686266,132.39878216475597,126.70654119858943,132.398782164756
5241,134.19408257777192,131.92641864225425,126.01656786187971,131.92641864225425
5242,133.50256249029326,131.45424926695532,125.33193555983958,131.45424926695532
5243,132.81812137981078,130.98227391918834,124.65258251472167,130.98227391918834
5244,132.140651100382,130.51049247938104,123.97844789786616,130.51049247938104
5245,131.47004569777252,130.03890482805917,123.30947181154451,130.03890482805915
5246,130.80620135421407,129.56751084584673,122.64559527121838,129.56751084584673
5247,130.1490163348246,129.0963104134657,121.98676018820285,129.0963104134657
5248,146.46114961194004,142.89556544847846,139.6836776687324,142.89556544847846
5249,145.68518384207778,142.42056590994943,138.93022841362466,142.4205659099494
5250,144.91738489809234,141.94576179885198,138.18271397620077,141.94576179885198
5251,144.15762452452302,141.47115299460492,137.44106450991467,141.4711529946049
5252,143.40577713749806,140.99673937672614,136.70521125996422,140.99673937672614
5253,142.66171975553294,140.52252082483267,135.97508654204358,140.52252082483267
5254,141.92533193246828,140.0484972186405,135.25062372158985,140.0484972186405
5255,141.1964956924713,139.57466843796448,134.5317571935104,139.5746684379645
5256,140.47509546702645,139.10103436271825,133.8184223623785,139.10103436271822
5257,139.7610180338447,138.62759487291407,133.1105556230841,138.62759487291407
5258,139.0541524576244,138.15434984866283,132.40809434192826,138.15434984866283
5259,138.35439003259717,137.6812991701739,131.71097683814855,137.68129917017387
5260,154.36873437358918,151.0272802134691,149.0881034820693,151.02728021346908
5261,153.55376345848657,150.55061733067186,148.29915741324186,150.55061733067186
5262,152.74734038670297,150.0741505556185,147.51641254748435,150.07415055561853
5263,151.9493313784045,149.59787976731053,146.73979605780127,149.59787976731056
5264,151.15960543093536,149.1218048448489,145.969236253125,149.12180484484895
5265,150.3780342471242,148.64592566743408,145.20466255625482,148.64592566743408
5266,149.60449216580056,148.17024211436578,144.4460054823075,148.17024211436578
5267,148.8388560944415,147.6947540650429,143.6931966176669,147.69475406504287
5268,148.08100544387293,147.2194613989635,142.94616859941803,147.2194613989635
5269,147.33082206495277,146.7443639957247,142.20485509525346,146.7443639957247
5270,146.58819018716645,146.26946173502245,141.46919078383883,146.26946173502245
5271,162.22153820250222,159.15866049628772,158.45229178482703,159.15866049628772
5272,161.3681187413438,158.6803344064454,157.6281586012596,158.6803344064454
5273,160.52361971108863,158.20220510457483,156.81048944623728,158.20220510457483
5274,159.6879019766873,157.72427246926026,155.99920856663712,157.72427246926026
5275,158.860829281641,157.2465363791858,155.19424138841637,157.2465363791858
