,Date,Price,Open,High,Low,Vol.,Change %
200,2020-07-18,170.39333333333335,170.12666666666667,170.53666666666666,169.84,,
201,2020-07-19,170.66666666666666,170.31333333333333,170.80333333333334,170.07999999999998,,
202,2020-07-20,170.94,170.5,171.07,170.32,10.10M,0.48%
203,2020-07-21,173.0,172.51,173.24,172.34,12.86M,1.21%
204,2020-07-22,175.63,174.02,175.76,173.76,18.71M,1.52%
205,2020-07-23,177.18,176.16,178.4,175.69,23.01M,0.88%
206,2020-07-24,178.7,179.05,179.1,178.28,15.60M,0.86%
207,2020-07-25,178.7,178.7,178.7,178.7,-,0.00%
208,2020-07-26,178.7,178.7,178.7,178.7,-,0.00%
209,2020-07-27,182.23,181.9,182.83,181.55,21.12M,1.98%
210,2020-07-28,183.75,182.23,184.25,181.47,21.16M,0.83%
211,2020-07-29,185.13,184.01,186.14,182.39,25.64M,0.75%
212,2020-07-30,183.76,183.45,184.32,182.2,18.06M,-0.74%
213,2020-07-31,185.43,184.51,185.75,184.16,15.89M,0.91%
214,2020-08-01,185.43,184.97,185.59,184.79500000000002,,
215,2020-08-02,185.43,185.43,185.43,185.43,-,0.00%
216,2020-08-03,185.64,185.13,185.81,184.2,12.90M,0.11%
217,2020-08-04,189.59,185.64,189.59,185.24,20.77M,2.13%
218,2020-08-05,191.35,191.7,193.1,190.63,27.19M,0.93%
219,2020-08-06,193.89,193.76,194.44,192.53,20.64M,1.33%
220,2020-08-07,190.81,192.71,192.95,189.33,24.57M,-1.59%
221,2020-08-08,190.81,190.81,190.81,190.81,-,0.00%
222,2020-08-09,190.81,190.81,190.81,190.81,-,0.00%
223,2020-08-10,190.15,190.81,192.59,189.69,19.05M,-0.35%
224,2020-08-11,179.94,183.33,183.98,179.49,45.35M,-5.37%
225,2020-08-12,179.1,182.69,183.09,179.08,28.78M,-0.47%
226,2020-08-13,183.33,181.71,184.69,181.7,18.60M,2.36%
227,2020-08-14,182.54,183.44,183.72,181.49,11.79M,-0.43%
228,2020-08-15,183.85999999999999,183.87333333333333,184.81333333333333,182.56,,
229,2020-08-16,185.18,184.30666666666667,185.90666666666667,183.63,,
230,2020-08-17,186.5,184.74,187.0,184.7,15.71M,2.17%
231,2020-08-18,188.18,189.2,189.34,185.64,16.29M,0.90%
232,2020-08-19,182.24,187.22,187.45,181.74,24.65M,-3.16%
233,2020-08-20,183.5,181.22,183.69,180.95,16.69M,0.69%
234,2020-08-21,182.03,182.14,182.81,180.47,12.71M,-0.80%
235,2020-08-22,182.03,182.08499999999998,182.42000000000002,181.25,,
236,2020-08-23,182.03,182.03,182.03,182.03,-,0.00%
237,2020-08-24,181.0,182.92,182.92,180.69,11.61M,-0.57%
238,2020-08-25,181.22,181.02,181.22,179.79,10.06M,0.12%
239,2020-08-26,183.36,180.25,183.56,180.21,12.72M,1.18%
240,2020-08-27,181.24,185.11,185.13,179.39,16.30M,-1.16%
241,2020-08-28,184.39,183.98,185.4,183.4,13.20M,1.74%
242,2020-08-29,184.39,184.185,184.89499999999998,183.89499999999998,,
243,2020-08-30,184.39,184.39,184.39,184.39,-,0.00%
244,2020-08-31,184.83,184.75,185.5,184.3,10.25M,0.24%
245,2020-09-01,185.05,186.98,186.98,184.42,10.69M,0.12%
246,2020-09-02,182.62,183.73,183.83,181.51,11.54M,-1.31%
247,2020-09-03,181.14,182.3,182.77,180.5,12.18M,-0.81%
248,2020-09-04,181.64,180.95,182.1,180.05,11.57M,0.28%
249,2020-09-05,181.55249999999998,180.58499999999998,182.1375,179.7975,,
250,2020-09-06,181.46499999999997,180.22,182.175,179.54500000000002,,
251,2020-09-07,181.3775,179.85500000000002,182.2125,179.2925,,
252,2020-09-08,181.29,179.49,182.25,179.04,13.23M,-0.19%
253,2020-09-09,183.05,182.5,183.22,182.24,8.42M,0.97%
254,2020-09-10,182.46,184.25,184.67,182.29,9.14M,-0.32%
255,2020-09-11,182.45,183.14,183.55,182.01,7.66M,-0.01%
256,2020-09-12,182.45,182.795,183.0,182.23,,
257,2020-09-13,182.45,182.45,182.45,182.45,-,0.00%
258,2020-09-14,183.89,183.59,184.29,183.4,9.71M,0.79%
259,2020-09-15,183.45,184.45,184.66,182.96,7.99M,-0.24%
260,2020-09-16,183.97,184.96,184.98,183.34,12.72M,0.28%
261,2020-09-17,182.96,181.87,183.07,181.48,8.84M,-0.55%
262,2020-09-18,183.2,183.07,184.09,182.64,9.96M,0.13%
263,2020-09-19,181.97333333333333,181.99,182.82333333333332,180.69666666666666,,
264,2020-09-20,180.74666666666667,180.91,181.55666666666667,178.75333333333333,,
265,2020-09-21,179.52,179.83,180.29,176.81,17.44M,-2.01%
266,2020-09-22,178.65,179.64,180.0,178.11,7.98M,-0.48%
267,2020-09-23,174.79,176.98,177.25,174.22,18.13M,-2.16%
268,2020-09-24,175.44,174.3,176.22,173.79,11.76M,0.37%
269,2020-09-25,174.94,174.43,175.29,173.99,6.78M,-0.28%
270,2020-09-26,174.94,174.94,174.94,174.94,-,0.00%
271,2020-09-27,174.94,174.94,174.94,174.94,-,0.00%
272,2020-09-28,176.7,174.94,176.8,174.94,7.11M,1.01%
273,2020-09-29,178.19,177.18,178.31,176.95,8.76M,0.84%
274,2020-09-30,177.12,177.7,178.61,176.69,8.37M,-0.60%
